route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
01_1,FULLW,01_1_PM_1,,,,
01_1,FULLW,01_1_PM_2,,,,
01_1,FULLW,01_1_PM_3,,,,
01_1,FULLW,01_1_PM_4,,,,
01_1,FULLW,01_1_PM_5,,,,
01_1,FULLW,01_1_PM_6,,,,
01_1,FULLW,01_1_PM_7,,,,
01_1,FULLW,01_1_PM_8,,,,
01_1,FULLW,01_1_PM_9,,,,
01_1,FULLW,01_1_PM_10,,,,
01_1,FULLW,01_1_PM_11,,,,
01_1,FULLW,01_1_PM_12,,,,
01_1,FULLW,01_1_PM_13,,,,
01_1,FULLW,01_1_PM_14,,,,
01_1,FULLW,01_1_PM_15,,,,
01_1,FULLW,01_1_PM_16,,,,
01_1,FULLW,01_1_PM_17,,,,
01_1,FULLW,01_1_PM_18,,,,
01_1,FULLW,01_1_PM_19,,,,
01_1,FULLW,01_1_PM_20,,,,
01_1,FULLW,01_1_PM_21,,,,
01_2,FULLW,01_2_PM_1,,,,
01_2,FULLW,01_2_PM_2,,,,
01_2,FULLW,01_2_PM_3,,,,
01_2,FULLW,01_2_PM_4,,,,
01_2,FULLW,01_2_PM_5,,,,
01_2,FULLW,01_2_PM_6,,,,
01_2,FULLW,01_2_PM_7,,,,
01_2,FULLW,01_2_PM_8,,,,
01_2,FULLW,01_2_PM_9,,,,
01_2,FULLW,01_2_PM_10,,,,
01_2,FULLW,01_2_PM_11,,,,
01_2,FULLW,01_2_PM_12,,,,
01_2,FULLW,01_2_PM_13,,,,
01_2,FULLW,01_2_PM_14,,,,
01_2,FULLW,01_2_PM_15,,,,
01_2,FULLW,01_2_PM_16,,,,
01_2,FULLW,01_2_PM_17,,,,
01_2,FULLW,01_2_PM_18,,,,
01_2,FULLW,01_2_PM_19,,,,
01_2,FULLW,01_2_PM_20,,,,
01_2,FULLW,01_2_PM_21,,,,
02_1,FULLW,02_1_PM_1,,,,
02_1,FULLW,02_1_PM_2,,,,
02_1,FULLW,02_1_PM_3,,,,
02_1,FULLW,02_1_PM_4,,,,
02_1,FULLW,02_1_PM_5,,,,
02_1,FULLW,02_1_PM_6,,,,
02_1,FULLW,02_1_PM_7,,,,
02_1,FULLW,02_1_PM_8,,,,
02_1,FULLW,02_1_PM_9,,,,
02_1,FULLW,02_1_PM_10,,,,
02_1,FULLW,02_1_PM_11,,,,
02_1,FULLW,02_1_PM_12,,,,
02_1,FULLW,02_1_PM_13,,,,
02_1,FULLW,02_1_PM_14,,,,
02_1,FULLW,02_1_PM_15,,,,
02_1,FULLW,02_1_PM_16,,,,
02_1,FULLW,02_1_PM_17,,,,
02_1,FULLW,02_1_PM_18,,,,
02_1,FULLW,02_1_PM_19,,,,
02_1,FULLW,02_1_PM_20,,,,
02_1,FULLW,02_1_PM_21,,,,
02_1,FULLW,02_1_PM_22,,,,
02_1,FULLW,02_1_PM_23,,,,
02_1,FULLW,02_1_PM_24,,,,
02_1,FULLW,02_1_PM_25,,,,
02_1,FULLW,02_1_PM_26,,,,
02_1,FULLW,02_1_PM_27,,,,
02_1,FULLW,02_1_PM_28,,,,
02_1,FULLW,02_1_PM_29,,,,
02_1,FULLW,02_1_PM_30,,,,
02_1,FULLW,02_1_PM_31,,,,
02_1,FULLW,02_1_PM_32,,,,
02_1,FULLW,02_1_PM_33,,,,
02_1,FULLW,02_1_PM_34,,,,
02_1,FULLW,02_1_PM_35,,,,
02_1,FULLW,02_1_PM_36,,,,
