route_id,service_id,trip_id,direction_id,trip_headsign,shape_id
line:61,27_1198518,1901117,0,Balma-Gramont,11970
line:61,27_1198261,1900861,1,Basso Cambo,11971
line:61,27_1198991,1901589,1,Basso Cambo,11971
line:61,27_1198880,1901478,0,Balma-Gramont,11970
line:61,27_1198061,1900661,1,Basso Cambo,11971
line:61,27_1199642,1902235,1,Basso Cambo,11971
line:61,27_1199373,1901969,1,Basso Cambo,11971
line:61,27_1198217,1900817,1,Basso Cambo,11971
line:61,27_1197876,1900476,0,Balma-Gramont,11970
line:61,27_1199405,1902000,0,Balma-Gramont,11970
line:61,27_1197891,1900491,0,Balma-Gramont,11970
line:61,27_1199379,1901975,1,Basso Cambo,11971
line:61,27_1199393,1901989,1,Basso Cambo,11971
line:61,27_1199367,1901963,1,Basso Cambo,11971
line:61,27_1198008,1900608,1,Basso Cambo,11971
line:61,27_1198868,1901466,0,Balma-Gramont,11970
line:61,27_1198037,1900637,1,Basso Cambo,11971
line:61,27_1199237,1901834,1,Basso Cambo,11971
line:61,27_1198420,1901019,0,Balma-Gramont,11970
line:61,27_1198325,1900924,0,Balma-Gramont,11970
line:61,27_1197594,1900194,0,Balma-Gramont,11970
line:61,27_1197653,1900253,0,Balma-Gramont,11970
line:61,27_1198652,1901251,1,Basso Cambo,11971
line:61,27_1199093,1901691,1,Basso Cambo,11971
line:61,27_1199315,1901912,1,Basso Cambo,11971
line:61,27_1198810,1901408,0,Balma-Gramont,11970
line:61,27_1199142,1901739,0,Balma-Gramont,11970
line:61,27_1198689,1901288,1,Basso Cambo,11971
line:61,27_1198049,1900649,1,Basso Cambo,11971
line:61,27_1197588,1900188,0,Balma-Gramont,11970
line:61,27_1199295,1901892,1,Basso Cambo,11971
line:61,27_1197760,1900360,0,Balma-Gramont,11970
line:61,27_1198132,1900732,1,Basso Cambo,11971
line:61,27_1198663,1901262,1,Basso Cambo,11971
line:61,27_1198853,1901451,0,Balma-Gramont,11970
line:61,27_1197738,1900338,0,Balma-Gramont,11970
line:61,27_1198700,1901299,1,Basso Cambo,11971
line:61,27_1198482,1901081,0,Balma-Gramont,11970
line:61,27_1198739,1901338,1,Basso Cambo,11971
line:61,27_1197669,1900269,0,Balma-Gramont,11970
line:61,27_1197672,1900272,0,Balma-Gramont,11970
line:61,27_1198512,1901111,0,Balma-Gramont,11970
line:61,27_1198703,1901302,1,Basso Cambo,11971
line:61,27_1198711,1901310,1,Basso Cambo,11971
line:61,27_1199856,1902445,1,Basso Cambo,11971
line:61,27_1198259,1900859,1,Basso Cambo,11971
line:61,27_1198669,1901268,1,Basso Cambo,11971
line:61,27_1198633,1901232,1,Basso Cambo,11971
line:61,27_1199390,1901986,1,Basso Cambo,11971
line:61,27_1197930,1900530,0,Balma-Gramont,11970
