stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
01_1_S1,STOP_01_1_S1,,21.048408,105.8783349,,
01_1_S2,STOP_01_1_S2,,21.04994897,105.8833067,,
01_1_S3,STOP_01_1_S3,,21.04579907,105.8751233,,
01_1_S4,STOP_01_1_S4,,21.04260114,105.870286,,
01_1_S5,STOP_01_1_S5,,21.04136583,105.8494572,,
01_1_S6,STOP_01_1_S6,,21.03744925,105.8468572,,
01_1_S7,STOP_01_1_S7,,21.03131607,105.8470406,,
01_1_S8,STOP_01_1_S8,,21.02684952,105.8474572,,
01_1_S9,STOP_01_1_S9,,21.02643253,105.8462426,,
01_1_S10,STOP_01_1_S10,,21.02579854,105.8412607,,
01_1_S11,STOP_01_1_S11,,21.0235346,105.8412697,,
01_1_S12,STOP_01_1_S12,,21.0193767,105.8378228,,
01_1_S13,STOP_01_1_S13,,21.01961269,105.8339249,,
01_1_S14,STOP_01_1_S14,,21.01605977,105.828116,,
01_1_S15,STOP_01_1_S15,,21.01134989,105.8251744,,
01_1_S16,STOP_01_1_S16,,21.00738332,105.8229745,,
01_1_S17,STOP_01_1_S17,,21.00016683,105.8150746,,
01_1_S18,STOP_01_1_S18,,20.99618359,105.8090914,,
01_1_S19,STOP_01_1_S19,,20.99383365,105.8056415,,
01_1_S20,STOP_01_1_S20,,20.99071705,105.801225,,
01_1_S21,STOP_01_1_S21,,20.98841344,105.7980487,,
01_1_S22,STOP_01_1_S22,,20.9861335,105.7948228,,
01_1_S23,STOP_01_1_S23,,20.98369656,105.7915038,,
01_1_S24,STOP_01_1_S24,,20.98065163,105.7877419,,
01_1_S25,STOP_01_1_S25,,20.97952566,105.786296,,
01_1_S26,STOP_01_1_S26,,20.97573408,105.7813921,,
01_1_S27,STOP_01_1_S27,,20.97278182,105.7773672,,
01_1_S28,STOP_01_1_S28,,20.96976889,105.7737023,,
01_1_S29,STOP_01_1_S29,,20.96780094,105.7712256,,
01_1_S30,STOP_01_1_S30,,20.96503434,105.7676257,,
01_1_S31,STOP_01_1_S31,,20.9622844,105.7641258,,
01_1_S32,STOP_01_1_S32,,20.96042112,105.7617305,,
01_1_S33,STOP_01_1_S33,,20.95833617,105.7590216,,
01_1_S34,STOP_01_1_S34,,20.95432426,105.7537437,,
01_1_S35,STOP_01_1_S35,,20.95231798,105.7510594,,
01_1_S36,STOP_01_1_S36,,20.95005936,105.7472449,,
01_2_S1,STOP_01_2_S1,,20.95005936,105.7472449,,
01_2_S2,STOP_01_2_S2,,20.95167433,105.7503898,,
01_2_S3,STOP_01_2_S3,,20.95830317,105.7594656,,
01_2_S4,STOP_01_2_S4,,20.96046778,105.7622925,,
01_2_S5,STOP_01_2_S5,,20.96283606,105.7653024,,
01_2_S6,STOP_01_2_S6,,20.96488434,105.7678757,,
01_2_S7,STOP_01_2_S7,,20.96743428,105.7712423,,
01_2_S8,STOP_01_2_S8,,20.97081987,105.7755192,,
01_2_S9,STOP_01_2_S9,,20.97266749,105.7776755,,
01_2_S10,STOP_01_2_S10,,20.97608407,105.7824421,,
01_2_S11,STOP_01_2_S11,,20.97986732,105.7872919,,
01_2_S12,STOP_01_2_S12,,20.98133395,105.7890419,,
01_2_S13,STOP_01_2_S13,,20.98331557,105.7916018,,
01_2_S14,STOP_01_2_S14,,20.98645049,105.7958584,,
01_2_S15,STOP_01_2_S15,,20.9887671,105.7991583,,
01_2_S16,STOP_01_2_S16,,20.99046706,105.8015416,,
01_2_S17,STOP_01_2_S17,,20.99360032,105.8060748,,
01_2_S18,STOP_01_2_S18,,20.9956336,105.8089248,,
01_2_S19,STOP_01_2_S19,,20.99880019,105.8136413,,
01_2_S20,STOP_01_2_S20,,21.00098814,105.8169733,,
01_2_S21,STOP_01_2_S21,,21.00786664,105.8234911,,
01_2_S22,STOP_01_2_S22,,21.01056658,105.8248911,,
01_2_S23,STOP_01_2_S23,,21.01711975,105.828864,,
01_2_S24,STOP_01_2_S24,,21.01953669,105.8332309,,
01_2_S25,STOP_01_2_S25,,21.01918304,105.8383741,,
01_2_S26,STOP_01_2_S26,,21.02358293,105.8438906,,
01_2_S27,STOP_01_2_S27,,21.02411625,105.8446406,,
01_2_S28,STOP_01_2_S28,,21.02961645,105.8463536,,
01_2_S29,STOP_01_2_S29,,21.03543264,105.8456406,,
01_2_S30,STOP_01_2_S30,,21.03864922,105.8464072,,
01_2_S31,STOP_01_2_S31,,21.03781625,105.8525904,,
01_2_S32,STOP_01_2_S32,,21.04281214,105.871036,,
01_2_S33,STOP_01_2_S33,,21.0459324,105.8758232,,
01_2_S34,STOP_01_2_S34,,21.04929898,105.8758066,,
01_2_S35,STOP_01_2_S35,,21.048408,105.8783349,,
02_1_S1,STOP_02_1_S1,,21.02343295,105.8606736,,
02_1_S2,STOP_02_1_S2,,21.02248297,105.8610236,,
02_1_S3,STOP_02_1_S3,,21.01884973,105.8604069,,
02_1_S4,STOP_02_1_S4,,21.02081634,105.858107,,
02_1_S5,STOP_02_1_S5,,21.02333295,105.856907,,
02_1_S6,STOP_02_1_S6,,21.02428259,105.8535004,,
02_1_S7,STOP_02_1_S7,,21.02524856,105.8502375,,
02_1_S8,STOP_02_1_S8,,21.02669752,105.8495065,,
02_1_S9,STOP_02_1_S9,,21.02763283,105.8464906,,
02_1_S10,STOP_02_1_S10,,21.02969944,105.842224,,
02_1_S11,STOP_02_1_S11,,21.03128274,105.8392074,,
02_1_S12,STOP_02_1_S12,,21.0312524,105.8359158,,
02_1_S13,STOP_02_1_S13,,21.02744949,105.8336909,,
02_1_S14,STOP_02_1_S14,,21.02503289,105.8326409,,
02_1_S15,STOP_02_1_S15,,21.02024267,105.8303599,,
02_1_S16,STOP_02_1_S16,,21.01605977,105.828116,,
02_1_S17,STOP_02_1_S17,,21.01134989,105.8251744,,
02_1_S18,STOP_02_1_S18,,21.00738332,105.8229745,,
02_1_S19,STOP_02_1_S19,,21.00016683,105.8150746,,
02_1_S20,STOP_02_1_S20,,20.99618359,105.8090914,,
02_1_S21,STOP_02_1_S21,,20.99383365,105.8056415,,
02_1_S22,STOP_02_1_S22,,20.99071705,105.801225,,
02_1_S23,STOP_02_1_S23,,20.98841344,105.7980487,,
02_1_S24,STOP_02_1_S24,,20.9861335,105.7948228,,
02_1_S25,STOP_02_1_S25,,20.98369656,105.7915038,,
02_1_S26,STOP_02_1_S26,,20.98065163,105.7877419,,
02_1_S27,STOP_02_1_S27,,20.97952566,105.786296,,
02_1_S28,STOP_02_1_S28,,20.97573408,105.7813921,,
02_1_S29,STOP_02_1_S29,,20.97278182,105.7773672,,
02_1_S30,STOP_02_1_S30,,20.96976889,105.7737023,,
02_1_S31,STOP_02_1_S31,,20.96780094,105.7712256,,
02_1_S32,STOP_02_1_S32,,20.96503434,105.7676257,,
02_1_S33,STOP_02_1_S33,,20.9622844,105.7641258,,
02_1_S34,STOP_02_1_S34,,20.96042112,105.7617305,,
02_1_S35,STOP_02_1_S35,,20.95833617,105.7590216,,
02_1_S36,STOP_02_1_S36,,20.95432426,105.7537437,,
02_1_S37,STOP_02_1_S37,,20.95231798,105.7510594,,
02_1_S38,STOP_02_1_S38,,20.95023036,105.7474619,,
02_2_S1,STOP_02_2_S1,,20.95023036,105.7474619,,
02_2_S2,STOP_02_2_S2,,20.95167433,105.7503898,,
02_2_S3,STOP_02_2_S3,,20.95830317,105.7594656,,
02_2_S4,STOP_02_2_S4,,20.96046778,105.7622925,,
02_2_S5,STOP_02_2_S5,,20.96283606,105.7653024,,
02_2_S6,STOP_02_2_S6,,20.96488434,105.7678757,,
02_2_S7,STOP_02_2_S7,,20.96743428,105.7712423,,
02_2_S8,STOP_02_2_S8,,20.97081987,105.7755192,,
02_2_S9,STOP_02_2_S9,,20.97266749,105.7776755,,
02_2_S10,STOP_02_2_S10,,20.97608407,105.7824421,,
02_2_S11,STOP_02_2_S11,,20.97986732,105.7872919,,
02_2_S12,STOP_02_2_S12,,20.98133395,105.7890419,,
02_2_S13,STOP_02_2_S13,,20.98331557,105.7916018,,
02_2_S14,STOP_02_2_S14,,20.98645049,105.7958584,,
02_2_S15,STOP_02_2_S15,,20.9887671,105.7991583,,
02_2_S16,STOP_02_2_S16,,20.99046706,105.8015416,,
02_2_S17,STOP_02_2_S17,,20.99360032,105.8060748,,
02_2_S18,STOP_02_2_S18,,20.9956336,105.8089248,,
02_2_S19,STOP_02_2_S19,,20.99880019,105.8136413,,
02_2_S20,STOP_02_2_S20,,21.00098814,105.8169733,,
02_2_S21,STOP_02_2_S21,,21.00786664,105.8234911,,
02_2_S22,STOP_02_2_S22,,21.01056658,105.8248911,,
02_2_S23,STOP_02_2_S23,,21.01711975,105.828864,,
02_2_S24,STOP_02_2_S24,,21.02020967,105.8305699,,
02_2_S25,STOP_02_2_S25,,21.02420257,105.8323579,,
02_2_S26,STOP_02_2_S26,,21.02886613,105.8347075,,
02_2_S27,STOP_02_2_S27,,21.02978277,105.8387908,,
02_2_S28,STOP_02_2_S28,,21.02861147,105.8428237,,
02_2_S29,STOP_02_2_S29,,21.02624953,105.8465406,,
02_2_S30,STOP_02_2_S30,,21.02524956,105.8499738,,
02_2_S31,STOP_02_2_S31,,21.02406626,105.8539071,,
02_2_S32,STOP_02_2_S32,,21.0238996,105.856657,,
02_2_S33,STOP_02_2_S33,,21.02343295,105.8606736,,
03A_1_S1,STOP_03A_1_S1,,20.98036567,105.8416287,,
03A_1_S2,STOP_03A_1_S2,,20.98492156,105.8410097,,
03A_1_S3,STOP_03A_1_S3,,20.98962744,105.8411017,,
03A_1_S4,STOP_03A_1_S4,,20.99363367,105.8411241,,
03A_1_S5,STOP_03A_1_S5,,21.00121682,105.8412907,,
03A_1_S6,STOP_03A_1_S6,,21.00516705,105.8413597,,
03A_1_S7,STOP_03A_1_S7,,21.00963494,105.8412067,,
03A_1_S8,STOP_03A_1_S8,,21.01436649,105.8412907,,
03A_1_S9,STOP_03A_1_S9,,21.02358293,105.8438906,,
03A_1_S10,STOP_03A_1_S10,,21.02215864,105.8488005,,
03A_1_S11,STOP_03A_1_S11,,21.0196997,105.8572737,,
03A_1_S12,STOP_03A_1_S12,,21.01863307,105.8607069,,
03A_1_S13,STOP_03A_1_S13,,21.02236631,105.8613236,,
03A_1_S14,STOP_03A_1_S14,,21.02841615,105.8581737,,
03A_1_S15,STOP_03A_1_S15,,21.03224939,105.8562734,,
03A_1_S16,STOP_03A_1_S16,,21.03781625,105.8525904,,
03A_1_S17,STOP_03A_1_S17,,21.04263247,105.8706067,,
03A_1_S18,STOP_03A_1_S18,,21.0459324,105.8758232,,
03A_1_S19,STOP_03A_1_S19,,21.04929898,105.8758066,,
03A_1_S20,STOP_03A_1_S20,,21.04816301,105.8785718,,
03A_2_S1,STOP_03A_2_S1,,21.04816301,105.8785718,,
03A_2_S2,STOP_03A_2_S2,,21.04978197,105.8830567,,
03A_2_S3,STOP_03A_2_S3,,21.04579907,105.8751233,,
03A_2_S4,STOP_03A_2_S4,,21.04260114,105.870286,,
03A_2_S5,STOP_03A_2_S5,,21.03796591,105.8528238,,
03A_2_S6,STOP_03A_2_S6,,21.03238272,105.8559404,,
03A_2_S7,STOP_03A_2_S7,,21.02553289,105.859457,,
03A_2_S8,STOP_03A_2_S8,,21.02248297,105.8610236,,
03A_2_S9,STOP_03A_2_S9,,21.01884973,105.8604069,,
03A_2_S10,STOP_03A_2_S10,,21.0197497,105.8572737,,
03A_2_S11,STOP_03A_2_S11,,21.02059768,105.8543404,,
03A_2_S12,STOP_03A_2_S12,,21.02175165,105.8506135,,
03A_2_S13,STOP_03A_2_S13,,21.02309961,105.8458573,,
03A_2_S14,STOP_03A_2_S14,,21.0235346,105.8412697,,
03A_2_S15,STOP_03A_2_S15,,21.01584479,105.8411757,,
03A_2_S16,STOP_03A_2_S16,,21.01039992,105.841124,,
03A_2_S17,STOP_03A_2_S17,,21.00516672,105.8410407,,
03A_2_S18,STOP_03A_2_S18,,21.00120015,105.8410241,,
03A_2_S19,STOP_03A_2_S19,,20.99343368,105.8409241,,
03A_2_S20,STOP_03A_2_S20,,20.98785049,105.8407907,,
03A_2_S21,STOP_03A_2_S21,,20.9844839,105.8407574,,
03A_2_S22,STOP_03A_2_S22,,20.98036567,105.8416287,,
03B_1_S1,STOP_03B_1_S1,,20.96490106,105.8423907,,
03B_1_S2,STOP_03B_1_S2,,20.9712969,105.8411207,,
03B_1_S3,STOP_03B_1_S3,,20.98075066,105.8413574,,
03B_1_S4,STOP_03B_1_S4,,20.98492156,105.8410097,,
03B_1_S5,STOP_03B_1_S5,,20.98962744,105.8411017,,
03B_1_S6,STOP_03B_1_S6,,20.99363367,105.8411241,,
03B_1_S7,STOP_03B_1_S7,,20.99728358,105.8432907,,
03B_1_S8,STOP_03B_1_S8,,20.99583363,105.8521571,,
03B_1_S9,STOP_03B_1_S9,,20.99530031,105.8566737,,
03B_1_S10,STOP_03B_1_S10,,20.9960153,105.8607013,,
03B_1_S11,STOP_03B_1_S11,,20.99690028,105.8632569,,
03B_1_S12,STOP_03B_1_S12,,20.99788359,105.8663735,,
03B_1_S13,STOP_03B_1_S13,,21.03014947,105.8987727,,
03B_1_S14,STOP_03B_1_S14,,21.0398659,105.904006,,
03B_1_S15,STOP_03B_1_S15,,21.05003232,105.9178056,,
03B_1_S16,STOP_03B_1_S16,,21.04718239,105.9194223,,
03B_1_S17,STOP_03B_1_S17,,21.04324916,105.9254721,,
03B_1_S18,STOP_03B_1_S18,,21.04754905,105.9238055,,
03B_1_S19,STOP_03B_1_S19,,21.0455611,105.9243268,,
03B_2_S1,STOP_03B_2_S1,,21.0455611,105.9243268,,
03B_2_S2,STOP_03B_2_S2,,21.04363249,105.9251221,,
03B_2_S3,STOP_03B_2_S3,,21.04714906,105.9198056,,
03B_2_S4,STOP_03B_2_S4,,21.05006566,105.9181056,,
03B_2_S5,STOP_03B_2_S5,,21.04051588,105.904156,,
03B_2_S6,STOP_03B_2_S6,,21.0302828,105.8985061,,
03B_2_S7,STOP_03B_2_S7,,20.99811691,105.8665402,,
03B_2_S8,STOP_03B_2_S8,,20.99706694,105.8635569,,
03B_2_S9,STOP_03B_2_S9,,20.99596696,105.8601736,,
03B_2_S10,STOP_03B_2_S10,,20.9955303,105.8557174,,
03B_2_S11,STOP_03B_2_S11,,20.99603362,105.8507905,,
03B_2_S12,STOP_03B_2_S12,,20.99659727,105.8462676,,
03B_2_S13,STOP_03B_2_S13,,20.99343368,105.8409241,,
03B_2_S14,STOP_03B_2_S14,,20.98785049,105.8407907,,
03B_2_S15,STOP_03B_2_S15,,20.9844839,105.8407574,,
03B_2_S16,STOP_03B_2_S16,,20.980634,105.8406907,,
03B_2_S17,STOP_03B_2_S17,,20.97651743,105.8406241,,
03B_2_S18,STOP_03B_2_S18,,20.97203421,105.8406074,,
03B_2_S19,STOP_03B_2_S19,,20.96512805,105.8416727,,
03B_2_S20,STOP_03B_2_S20,,20.96031417,105.8420267,,
03B_2_S21,STOP_03B_2_S21,,20.96490106,105.8423907,,
04_1_S1,STOP_04_1_S1,,21.04289912,105.8480735,,
04_1_S2,STOP_04_1_S2,,21.04168248,105.8490905,,
04_1_S3,STOP_04_1_S3,,21.03371602,105.8542571,,
04_1_S4,STOP_04_1_S4,,21.02836615,105.8554904,,
04_1_S5,STOP_04_1_S5,,21.02163299,105.8577737,,
04_1_S6,STOP_04_1_S6,,21.01668311,105.8583403,,
04_1_S7,STOP_04_1_S7,,21.01414984,105.859057,,
04_1_S8,STOP_04_1_S8,,21.0118369,105.8590443,,
04_1_S9,STOP_04_1_S9,,21.00696669,105.8607236,,
04_1_S10,STOP_04_1_S10,,21.00236914,105.8611693,,
04_1_S11,STOP_04_1_S11,,20.99778358,105.8616403,,
04_1_S12,STOP_04_1_S12,,20.99243372,105.8622403,,
04_1_S13,STOP_04_1_S13,,20.99073376,105.8642569,,
04_1_S14,STOP_04_1_S14,,20.9865672,105.8692068,,
04_1_S15,STOP_04_1_S15,,20.98488391,105.87259,,
04_1_S16,STOP_04_1_S16,,20.98435059,105.8739233,,
04_1_S17,STOP_04_1_S17,,20.98311729,105.8772066,,
04_1_S18,STOP_04_1_S18,,20.98146734,105.8813732,,
04_1_S19,STOP_04_1_S19,,20.98036737,105.8855397,,
04_1_S20,STOP_04_1_S20,,20.97695079,105.8859397,,
04_1_S21,STOP_04_1_S21,,20.97246756,105.8804232,,
04_1_S22,STOP_04_1_S22,,20.96603438,105.8747567,,
04_1_S23,STOP_04_1_S23,,20.96468441,105.8665402,,
04_1_S24,STOP_04_1_S24,,20.96550105,105.8553574,,
04_1_S25,STOP_04_1_S25,,20.96626769,105.844474,,
04_1_S26,STOP_04_1_S26,,20.96512805,105.8416727,,
04_1_S27,STOP_04_1_S27,,20.96031417,105.8420267,,
04_1_S28,STOP_04_1_S28,,20.96506805,105.8420577,,
04_2_S1,STOP_04_2_S1,,20.96506805,105.8420577,,
04_2_S2,STOP_04_2_S2,,20.96570304,105.8503355,,
04_2_S3,STOP_04_2_S3,,20.96449208,105.8580544,,
04_2_S4,STOP_04_2_S4,,20.9639011,105.8636736,,
04_2_S5,STOP_04_2_S5,,20.96585106,105.87554,,
04_2_S6,STOP_04_2_S6,,20.97293422,105.8815898,,
04_2_S7,STOP_04_2_S7,,20.98026737,105.8866564,,
04_2_S8,STOP_04_2_S8,,20.98138401,105.8816898,,
04_2_S9,STOP_04_2_S9,,20.98305063,105.8774899,,
04_2_S10,STOP_04_2_S10,,20.98421727,105.87439,,
04_2_S11,STOP_04_2_S11,,20.98498391,105.8725234,,
